temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30.81	217	352	176	Non-Fire
30.75	219	351	184	Non-Fire
30.75	215	367	195	Non-Fire
30.75	210	353	192	Non-Fire
30.75	220	368	193	Non-Fire
30.75	215	351	187	Non-Fire
30.75	223	368	187	Non-Fire
30.75	210	357	178	Non-Fire
30.75	218	350	181	Non-Fire
30.75	209	354	195	Non-Fire
30.75	221	350	176	Non-Fire
30.75	213	354	178	Non-Fire
30.75	207	351	183	Non-Fire
30.81	217	360	178	Non-Fire
30.81	210	366	178	Non-Fire
30.75	218	366	191	Non-Fire
30.75	223	352	183	Non-Fire
30.81	210	366	177	Non-Fire
30.81	210	367	178	Non-Fire
30.81	217	354	182	Non-Fire
30.81	211	352	186	Non-Fire
30.81	221	363	187	Non-Fire
30.81	209	365	195	Non-Fire
30.81	207	351	192	Non-Fire
30.81	217	363	180	Non-Fire
30.75	213	353	184	Non-Fire
30.75	214	364	176	Non-Fire
30.75	215	302	177	Non-Fire
30.75	222	355	176	Non-Fire
30.75	211	347	179	Non-Fire
30.75	218	353	188	Non-Fire
30.75	217	363	182	Non-Fire
30.75	210	358	185	Non-Fire
30.75	221	352	184	Non-Fire
30.75	222	349	188	Non-Fire
30.75	213	358	192	Non-Fire
30.75	210	358	192	Non-Fire
30.75	221	352	178	Non-Fire
30.69	209	362	181	Non-Fire
30.75	221	352	176	Non-Fire
30.75	208	365	185	Non-Fire
30.75	211	366	183	Non-Fire
30.69	220	365	181	Non-Fire
30.69	219	368	197	Non-Fire
30.69	223	352	192	Non-Fire
30.69	210	354	176	Non-Fire
30.69	209	350	190	Non-Fire
30.69	212	365	186	Non-Fire
30.69	209	359	193	Non-Fire
30.63	215	350	187	Non-Fire
30.69	210	366	198	Non-Fire
30.69	209	353	185	Non-Fire
30.63	217	352	181	Non-Fire
30.63	222	353	192	Non-Fire
30.69	222	368	177	Non-Fire
30.69	214	357	177	Non-Fire
30.63	214	358	177	Non-Fire
30.63	213	362	195	Non-Fire
30.63	221	364	176	Non-Fire
30.63	207	357	176	Non-Fire
30.63	219	362	178	Non-Fire
30.63	220	352	180	Non-Fire
30.63	219	350	189	Non-Fire
30.63	211	353	188	Non-Fire
30.63	209	365	192	Non-Fire
30.63	219	354	193	Non-Fire
30.63	208	356	185	Non-Fire
30.56	213	352	176	Non-Fire
30.63	208	358	192	Non-Fire
30.56	209	347	175	Non-Fire
30.63	208	359	178	Non-Fire
30.63	214	349	174	Non-Fire
30.63	218	354	176	Non-Fire
30.63	215	368	194	Non-Fire
30.63	213	355	192	Non-Fire
30.63	213	369	177	Non-Fire
30.63	211	352	175	Non-Fire
30.63	209	350	187	Non-Fire
30.63	212	368	176	Non-Fire
30.69	219	362	176	Non-Fire
30.69	219	359	193	Non-Fire
30.69	212	361	192	Non-Fire
30.69	211	365	196	Non-Fire
30.69	210	358	180	Non-Fire
30.69	214	366	193	Non-Fire
30.69	216	363	178	Non-Fire
30.69	217	355	193	Non-Fire
30.69	219	353	175	Non-Fire
30.69	220	363	182	Non-Fire
30.69	214	365	182	Non-Fire
30.69	213	368	179	Non-Fire
30.63	208	360	192	Non-Fire
30.69	220	352	176	Non-Fire
30.69	219	362	176	Non-Fire
30.69	215	352	195	Non-Fire
30.63	219	355	190	Non-Fire
30.63	208	352	176	Non-Fire
30.63	218	355	192	Non-Fire
30.63	208	364	193	Non-Fire
30.69	210	362	178	Non-Fire
30.63	211	352	197	Non-Fire
30.63	208	353	178	Non-Fire
30.63	207	352	192	Non-Fire
30.63	210	365	182	Non-Fire
30.63	215	353	185	Non-Fire
30.63	208	353	176	Non-Fire
30.63	219	355	176	Non-Fire
30.56	218	352	187	Non-Fire
30.56	212	363	190	Non-Fire
30.56	221	348	184	Non-Fire
30.56	216	353	185	Non-Fire
30.56	219	361	194	Non-Fire
30.56	220	345	191	Non-Fire
30.56	211	366	189	Non-Fire
30.56	208	351	178	Non-Fire
30.56	210	349	194	Non-Fire
30.56	217	362	190	Non-Fire
30.56	208	350	176	Non-Fire
